,year,age,Average_suicides_per_capita
65,1995-01-01,75+ years,30.188525641025645
59,1994-01-01,75+ years,28.47095588235294
71,1996-01-01,75+ years,28.09428571428573
77,1997-01-01,75+ years,27.64694805194805
83,1998-01-01,75+ years,27.448734177215194
41,1991-01-01,75+ years,26.682890625000006
53,1993-01-01,75+ years,26.244461538461547
95,2000-01-01,75+ years,25.941220930232543
47,1992-01-01,75+ years,25.905923076923077
89,1999-01-01,75+ years,25.826746987951807
29,1989-01-01,75+ years,25.79740384615384
23,1988-01-01,75+ years,25.59887755102042
35,1990-01-01,75+ years,25.54390625000001
107,2002-01-01,75+ years,25.5178488372093
5,1985-01-01,75+ years,24.48427083333334
101,2001-01-01,75+ years,24.28534090909091
11,1986-01-01,75+ years,23.7121875
113,2003-01-01,75+ years,23.661279069767442
17,1987-01-01,75+ years,23.60277777777778
137,2007-01-01,75+ years,23.07686046511627
131,2006-01-01,75+ years,22.785588235294107
119,2004-01-01,75+ years,22.57517857142857
143,2008-01-01,75+ years,21.738529411764702
125,2005-01-01,75+ years,21.546845238095234
185,2015-01-01,75+ years,20.967338709677428
190,2016-01-01,75+ years,20.900624999999998
167,2012-01-01,75+ years,20.72123456790123
179,2014-01-01,75+ years,20.59025641025641
155,2010-01-01,75+ years,20.36926136363636
149,2009-01-01,75+ years,20.112078651685383
70,1996-01-01,55-74 years,19.642987012987017
64,1995-01-01,55-74 years,19.534935897435904
173,2013-01-01,75+ years,19.3890625
161,2011-01-01,75+ years,19.35162790697675
82,1998-01-01,55-74 years,19.098164556962022
76,1997-01-01,55-74 years,18.80759740259739
62,1995-01-01,35-54 years,18.566730769230766
88,1999-01-01,55-74 years,18.389397590361455
68,1996-01-01,35-54 years,18.384090909090922
80,1998-01-01,35-54 years,17.877531645569622
74,1997-01-01,35-54 years,17.652727272727265
94,2000-01-01,55-74 years,17.53127906976744
106,2002-01-01,55-74 years,17.520988372093026
86,1999-01-01,35-54 years,17.409698795180724
112,2003-01-01,55-74 years,17.388197674418617
100,2001-01-01,55-74 years,17.387329545454556
52,1993-01-01,55-74 years,17.262923076923084
58,1994-01-01,55-74 years,17.24911764705882
46,1992-01-01,55-74 years,17.097769230769238
92,2000-01-01,35-54 years,16.443372093023264
40,1991-01-01,55-74 years,16.43609375
98,2001-01-01,35-54 years,16.43375
104,2002-01-01,35-54 years,16.228720930232555
50,1993-01-01,35-54 years,16.188846153846153
56,1994-01-01,35-54 years,16.10669117647058
118,2004-01-01,55-74 years,16.086666666666673
110,2003-01-01,35-54 years,16.077151162790695
28,1989-01-01,55-74 years,16.000384615384615
22,1988-01-01,55-74 years,15.843061224489801
124,2005-01-01,55-74 years,15.819940476190473
34,1990-01-01,55-74 years,15.660546874999994
44,1992-01-01,35-54 years,15.569076923076919
4,1985-01-01,55-74 years,15.094374999999998
189,2016-01-01,55-74 years,15.031875000000001
116,2004-01-01,35-54 years,15.013095238095238
142,2008-01-01,55-74 years,15.010882352941184
16,1987-01-01,55-74 years,14.945833333333336
61,1995-01-01,25-34 years,14.706089743589747
130,2006-01-01,55-74 years,14.636764705882358
148,2009-01-01,55-74 years,14.590561797752823
38,1991-01-01,35-54 years,14.548906250000007
136,2007-01-01,55-74 years,14.457267441860461
67,1996-01-01,25-34 years,14.45383116883118
184,2015-01-01,55-74 years,14.451774193548383
140,2008-01-01,35-54 years,14.423941176470594
85,1999-01-01,25-34 years,14.377349397590356
172,2013-01-01,55-74 years,14.360250000000004
166,2012-01-01,55-74 years,14.35469135802468
122,2005-01-01,35-54 years,14.346130952380953
73,1997-01-01,25-34 years,14.218571428571428
79,1998-01-01,25-34 years,14.188291139240507
146,2009-01-01,35-54 years,14.07966292134832
128,2006-01-01,35-54 years,14.063176470588234
32,1990-01-01,35-54 years,13.975234374999994
10,1986-01-01,55-74 years,13.965000000000002
154,2010-01-01,55-74 years,13.846022727272732
178,2014-01-01,55-74 years,13.773269230769223
160,2011-01-01,55-74 years,13.766162790697681
91,2000-01-01,25-34 years,13.756918604651158
134,2007-01-01,35-54 years,13.747325581395348
164,2012-01-01,35-54 years,13.66808641975309
152,2010-01-01,35-54 years,13.62664772727273
26,1989-01-01,35-54 years,13.584519230769233
188,2016-01-01,35-54 years,13.298437499999997
158,2011-01-01,35-54 years,13.296104651162784
103,2002-01-01,25-34 years,13.27348837209302
170,2013-01-01,35-54 years,13.249437499999999
97,2001-01-01,25-34 years,13.213465909090907
49,1993-01-01,25-34 years,13.198615384615385
20,1988-01-01,35-54 years,13.176020408163263
176,2014-01-01,35-54 years,12.662371794871799
43,1992-01-01,25-34 years,12.649230769230767
182,2015-01-01,35-54 years,12.555645161290322
55,1994-01-01,25-34 years,12.500147058823524
37,1991-01-01,25-34 years,12.491484374999997
109,2003-01-01,25-34 years,12.466337209302326
19,1988-01-01,25-34 years,12.410102040816327
2,1985-01-01,35-54 years,12.403020833333336
14,1987-01-01,35-54 years,12.383611111111113
31,1990-01-01,25-34 years,12.358828125
25,1989-01-01,25-34 years,12.178173076923079
133,2007-01-01,25-34 years,11.969941860465116
115,2004-01-01,25-34 years,11.909047619047621
121,2005-01-01,25-34 years,11.727023809523812
8,1986-01-01,35-54 years,11.695416666666665
139,2008-01-01,25-34 years,11.264352941176467
145,2009-01-01,25-34 years,10.99533707865168
127,2006-01-01,25-34 years,10.965000000000005
13,1987-01-01,25-34 years,10.960370370370368
151,2010-01-01,25-34 years,10.830852272727272
169,2013-01-01,25-34 years,10.805125
72,1997-01-01,15-24 years,10.759675324675326
175,2014-01-01,25-34 years,10.753205128205126
163,2012-01-01,25-34 years,10.726296296296297
157,2011-01-01,25-34 years,10.623313953488367
7,1986-01-01,25-34 years,10.593854166666668
84,1999-01-01,15-24 years,10.532289156626502
66,1996-01-01,15-24 years,10.52194805194805
60,1995-01-01,15-24 years,10.376474358974361
187,2016-01-01,25-34 years,10.372500000000004
78,1998-01-01,15-24 years,10.219113924050632
181,2015-01-01,25-34 years,10.111774193548385
1,1985-01-01,25-34 years,10.008750000000001
36,1991-01-01,15-24 years,9.905625
102,2002-01-01,15-24 years,9.537093023255814
54,1994-01-01,15-24 years,9.487720588235293
90,2000-01-01,15-24 years,9.442732558139536
48,1993-01-01,15-24 years,9.331000000000003
96,2001-01-01,15-24 years,9.197272727272733
42,1992-01-01,15-24 years,9.186538461538461
24,1989-01-01,15-24 years,9.160480769230773
30,1990-01-01,15-24 years,9.11515625
108,2003-01-01,15-24 years,9.022499999999996
18,1988-01-01,15-24 years,8.750918367346939
114,2004-01-01,15-24 years,8.696726190476191
126,2006-01-01,15-24 years,8.529941176470588
0,1985-01-01,15-24 years,8.429687500000004
162,2012-01-01,15-24 years,8.417283950617286
156,2011-01-01,15-24 years,8.417209302325581
138,2008-01-01,15-24 years,8.389588235294118
120,2005-01-01,15-24 years,8.263035714285714
132,2007-01-01,15-24 years,8.254418604651162
168,2013-01-01,15-24 years,8.184062500000001
6,1986-01-01,15-24 years,8.152083333333334
144,2009-01-01,15-24 years,8.029101123595504
150,2010-01-01,15-24 years,7.973750000000002
180,2015-01-01,15-24 years,7.773225806451614
