,country,year,age,sex,Average_suicides_per_capita
1269,Aruba,1995-01-01,75+ years,male,224.97
22291,Seychelles,2006-01-01,75+ years,male,204.92
24343,Suriname,2012-01-01,75+ years,male,187.06
20553,Republic of Korea,2011-01-01,75+ years,male,185.37
20541,Republic of Korea,2010-01-01,75+ years,male,182.32
11387,Hungary,1992-01-01,75+ years,male,177.61
11399,Hungary,1993-01-01,75+ years,male,177.57
11375,Hungary,1991-01-01,75+ years,male,176.91
20481,Republic of Korea,2005-01-01,75+ years,male,176.33
11411,Hungary,1994-01-01,75+ years,male,176.26
20529,Republic of Korea,2009-01-01,75+ years,male,173.86
20505,Republic of Korea,2007-01-01,75+ years,male,172.86
20469,Republic of Korea,2004-01-01,75+ years,male,172.8
20457,Republic of Korea,2003-01-01,75+ years,male,170.86
11423,Hungary,1995-01-01,75+ years,male,165.96
11471,Hungary,1999-01-01,75+ years,male,162.67
11447,Hungary,1997-01-01,75+ years,male,161.92
21775,Saint Vincent and Grenadines,2002-01-01,75+ years,male,157.48
20517,Republic of Korea,2008-01-01,75+ years,male,154.92
20493,Republic of Korea,2006-01-01,75+ years,male,154.63
20565,Republic of Korea,2012-01-01,75+ years,male,152.45
15061,Lithuania,1996-01-01,35-54 years,male,151.33
24103,Suriname,1990-01-01,75+ years,male,150.0
20577,Republic of Korea,2013-01-01,75+ years,male,147.59
15049,Lithuania,1995-01-01,35-54 years,male,144.85
23119,Slovenia,2001-01-01,75+ years,male,144.71
22411,Singapore,1985-01-01,75+ years,male,144.65
15073,Lithuania,1997-01-01,35-54 years,male,144.59
11435,Hungary,1996-01-01,75+ years,male,144.23
11483,Hungary,2000-01-01,75+ years,male,144.15
15055,Lithuania,1995-01-01,75+ years,male,141.91
20601,Republic of Korea,2015-01-01,75+ years,male,140.74
22447,Singapore,1988-01-01,75+ years,male,138.89
1893,Austria,1993-01-01,75+ years,male,135.22
11495,Hungary,2001-01-01,75+ years,male,134.39
15133,Lithuania,2002-01-01,35-54 years,male,134.29
1292,Aruba,2000-01-01,75+ years,female,133.42
6653,Cuba,1993-01-01,75+ years,male,133.23
15097,Lithuania,1999-01-01,35-54 years,male,132.51
15109,Lithuania,2000-01-01,35-54 years,male,131.9
4579,Bulgaria,1987-01-01,75+ years,male,131.87
15461,Luxembourg,1997-01-01,75+ years,male,131.58
17041,Montenegro,2007-01-01,75+ years,male,131.39
4555,Bulgaria,1985-01-01,75+ years,male,131.17
20445,Republic of Korea,2002-01-01,75+ years,male,130.46
1869,Austria,1991-01-01,75+ years,male,130.45
21991,Serbia,1999-01-01,75+ years,male,129.48
1821,Austria,1987-01-01,75+ years,male,128.72
15085,Lithuania,1998-01-01,35-54 years,male,125.78
11459,Hungary,1998-01-01,75+ years,male,125.66
8359,Estonia,1995-01-01,35-54 years,male,125.46
6487,Croatia,2004-01-01,75+ years,male,125.28
4639,Bulgaria,1992-01-01,75+ years,male,125.23
23911,Sri Lanka,1985-01-01,75+ years,male,125.22
6665,Cuba,1994-01-01,75+ years,male,125.19
8377,Estonia,1996-01-01,75+ years,male,124.96
1917,Austria,1995-01-01,75+ years,male,124.95
8413,Estonia,1999-01-01,75+ years,male,124.9
20589,Republic of Korea,2014-01-01,75+ years,male,124.45
6677,Cuba,1995-01-01,75+ years,male,124.37
1929,Austria,1996-01-01,75+ years,male,123.94
15089,Lithuania,1998-01-01,55-74 years,male,123.83
23923,Sri Lanka,1986-01-01,75+ years,male,123.72
6713,Cuba,1998-01-01,75+ years,male,123.49
15121,Lithuania,2001-01-01,35-54 years,male,123.17
4603,Bulgaria,1989-01-01,75+ years,male,122.41
8371,Estonia,1996-01-01,35-54 years,male,121.87
15065,Lithuania,1996-01-01,55-74 years,male,121.81
9109,France,1986-01-01,75+ years,male,121.32
11507,Hungary,2002-01-01,75+ years,male,121.11
23107,Slovenia,2000-01-01,75+ years,male,120.97
11543,Hungary,2005-01-01,75+ years,male,120.75
9097,France,1985-01-01,75+ years,male,120.49
6641,Cuba,1992-01-01,75+ years,male,120.3
11531,Hungary,2004-01-01,75+ years,male,120.1
1905,Austria,1994-01-01,75+ years,male,119.73
17065,Montenegro,2009-01-01,75+ years,male,119.35
22003,Serbia,2000-01-01,75+ years,male,119.14
21979,Serbia,1998-01-01,75+ years,male,119.09
14863,Latvia,2000-01-01,75+ years,male,118.84
15053,Lithuania,1995-01-01,55-74 years,male,118.53
6701,Cuba,1997-01-01,75+ years,male,118.17
4591,Bulgaria,1988-01-01,75+ years,male,118.12
14801,Latvia,1995-01-01,55-74 years,male,117.39
15113,Lithuania,2000-01-01,55-74 years,male,117.37
21001,Russian Federation,1994-01-01,35-54 years,male,117.3
15125,Lithuania,2001-01-01,55-74 years,male,116.49
1881,Austria,1992-01-01,75+ years,male,116.38
23071,Slovenia,1997-01-01,75+ years,male,115.67
4711,Bulgaria,1998-01-01,75+ years,male,115.52
22422,Singapore,1986-01-01,75+ years,female,115.38
15145,Lithuania,2003-01-01,35-54 years,male,115.34
23143,Slovenia,2003-01-01,75+ years,male,115.14
27411,Uruguay,2002-01-01,75+ years,male,115.05
23059,Slovenia,1996-01-01,75+ years,male,114.94
4687,Bulgaria,1996-01-01,75+ years,male,114.92
4627,Bulgaria,1991-01-01,75+ years,male,114.88
23179,Slovenia,2006-01-01,75+ years,male,114.86
22015,Serbia,2001-01-01,75+ years,male,113.84
22531,Singapore,1995-01-01,75+ years,male,113.48
9121,France,1987-01-01,75+ years,male,113.4
14827,Latvia,1997-01-01,75+ years,male,113.27
6689,Cuba,1996-01-01,75+ years,male,113.21
8365,Estonia,1995-01-01,75+ years,male,112.99
21013,Russian Federation,1995-01-01,35-54 years,male,112.76
1857,Austria,1990-01-01,75+ years,male,112.59
11579,Hungary,2008-01-01,75+ years,male,112.56
4663,Bulgaria,1994-01-01,75+ years,male,112.47
8389,Estonia,1997-01-01,75+ years,male,112.25
1833,Austria,1988-01-01,75+ years,male,111.21
7107,Czech Republic,1990-01-01,75+ years,male,110.49
11519,Hungary,2003-01-01,75+ years,male,110.39
15127,Lithuania,2001-01-01,75+ years,male,110.22
21007,Russian Federation,1994-01-01,75+ years,male,110.19
23167,Slovenia,2005-01-01,75+ years,male,110.13
22459,Singapore,1989-01-01,75+ years,male,109.65
6725,Cuba,1999-01-01,75+ years,male,109.56
8383,Estonia,1997-01-01,35-54 years,male,109.5
11567,Hungary,2007-01-01,75+ years,male,109.34
9133,France,1988-01-01,75+ years,male,109.04
1809,Austria,1986-01-01,75+ years,male,109.01
6535,Croatia,2008-01-01,75+ years,male,108.98
14797,Latvia,1995-01-01,35-54 years,male,108.76
22027,Serbia,2002-01-01,75+ years,male,108.72
22063,Serbia,2005-01-01,75+ years,male,108.27
23959,Sri Lanka,1998-01-01,75+ years,male,108.22
6463,Croatia,2002-01-01,75+ years,male,107.97
23251,Slovenia,2012-01-01,75+ years,male,107.95
6415,Croatia,1998-01-01,75+ years,male,107.88
23095,Slovenia,1999-01-01,75+ years,male,107.64
15157,Lithuania,2004-01-01,35-54 years,male,107.27
9145,France,1989-01-01,75+ years,male,107.21
3265,Belarus,1996-01-01,35-54 years,male,107.15
20989,Russian Federation,1993-01-01,35-54 years,male,107.13
14813,Latvia,1996-01-01,55-74 years,male,106.78
